# time,BOT[0].botPosition[1]
16448.49177333973,14
16453.36501781175,12
16453.36501781175,12
16466.49177333685,12
16471.37177333607,9
16471.37177333607,9
16476.24859756365,7
16476.24859756365,7
16481.12177333451,4
16481.12177333451,4
16485.99859756209,2
16485.99859756209,2
16490.87177333295,3
16490.87177333295,3
17754.51992339473,3
17759.39992339395,0
17759.39992339395,0
17766.51992339283,0
17771.39992339205,3
17771.39992339205,3
17776.27406785847,5
17776.27406785847,5
17781.14992339051,8
17781.14992339051,8
17786.02992338974,9
17786.02992338974,9
17790.90992338897,12
17790.90992338897,12
17795.78992338819,14
17795.78992338819,14
17829.44681069146,14
17834.32681069069,12
17834.32681069069,12
17863.44681068608,12
17868.32681068531,9
17868.32681068531,9
17873.2049593595,8
17873.2049593595,8
17878.08681068376,5
17878.08681068376,5
17882.96495935796,3
17882.96495935796,3
18196.86288729413,3
18201.74288729335,0
18201.74288729335,0
18232.86288728836,0
18237.74288728758,2
18237.74288728758,2
18242.61997111145,4
18242.61997111145,4
18247.49288728602,7
18247.49288728602,7
18252.36873194011,9
18252.36873194011,9
18257.24873193933,12
18257.24873193933,12
18262.12873193855,14
18262.12873193855,14
18270.86288728228,14
18275.73873193637,12
18275.73873193637,12
18280.86288728068,12
18285.73873193477,9
18285.73873193477,9
18290.61873193399,7
18290.61873193399,7
18295.49873193321,4
18295.49873193321,4
18300.37873193243,2
18300.37873193243,2
18305.25873193165,3
18305.25873193165,3
18359.64332902256,3
18364.51804796216,0
18364.51804796216,0
18383.64332901876,0
18388.51804795835,3
18388.51804795835,3
18393.39804795757,4
18393.39804795757,4
18398.27804795679,7
18398.27804795679,7
18403.15804795601,9
18403.15804795601,9
18408.03804795524,12
18408.03804795524,12
18412.91804795446,14
18412.91804795446,14
18434.14789709235,14
18439.02789709157,12
18439.02789709157,12
18456.14789708884,12
18461.02789708806,9
18461.02789708806,9
18465.90689443835,7
18465.90689443835,7
18470.7878970865,4
18470.7878970865,4
18475.66789708572,3
18475.66789708572,3
18533.55479391131,3
18538.43192450091,0
18538.43192450091,0
18557.5547939075,0
18562.43192449708,3
18562.43192449708,3
18567.3119244963,5
18567.3119244963,5
18572.18479390516,7
18572.18479390516,7
18577.06192449474,9
18577.06192449474,9
18581.9347939036,12
18581.9347939036,12
18586.81543769308,14
18586.81543769308,14
18607.55479389954,14
18612.43192448913,12
18612.43192448913,12
18629.55479389606,12
18634.43479389528,9
18634.43479389528,9
18639.31543768477,7
18639.31543768477,7
18644.19479389374,5
18644.19479389374,5
18649.07543768323,3
18649.07543768323,3
19127.11503883035,3
19131.99088170139,0
19131.99088170139,0
19147.11503882719,0
19151.99088169823,3
19151.99088169823,3
19156.86503882564,5
19156.86503882564,5
